node	country_code	host_type	location
KY317940	COL	human	South America
KY317938	COL	human	South America
KU922960	MEX	human	Central America
KU922923	MEX	human	Central America
KY785423	DOM	human	Caribbean
n199	DOM	human	Caribbean
LC190723	JPN	human	Eastern Asia
n202	DOM	human	Caribbean
KU853012	ITA	human	Europe
KX922707	USA	human	Northern America
n260	DOM	human	Caribbean
n261	RUS	human	Europe
n264	DOM	human	Caribbean
n266	DOM	human	Caribbean
n221	DOM	human	Caribbean
n221	JAM		
KY785424	JAM	human	Caribbean
n210	USA	human	Northern America
n224	DOM	human	Caribbean
n224	USA		
MF098765	RUS	human	Europe
KX446950	MEX	mosquito	Central America
KX446951	MEX	mosquito	Central America
KU820897	COL	human	South America
KX247646	COL	human	South America
n301	VEN	human	South America
n303	PAN	human	Central America
KX156775	PAN	human	Central America
n200	DOM	human	Caribbean
KY785419	JAM	human	Caribbean
MF098764	RUS	human	Europe
KY785413	DOM	human	Caribbean
KY785484	DOM	human	Caribbean
KY785435	DOM	human	Caribbean
MF664436	RUS	human	Europe
MF098768	RUS	human	Europe
MF098769	RUS	human	Europe
KY785415	DOM	human	Caribbean
KY785470	DOM	human	Caribbean
KY014314	DOM	human	Caribbean
KY785420	DOM	human	Caribbean
KY014318	DOM	human	Caribbean
KY785430	JAM	human	Caribbean
n222	DOM	human	Caribbean
n211	USA	human	Northern America
n220	USA	human	Northern America
n225	USA	human	Northern America
KY785425	DOM	human	Caribbean
KX702400	VEN	human	South America
KX893855	VEN	human	South America
KX156774	PAN	human	Central America
KX156776	PAN	human	Central America
KY785465	DOM	human	Caribbean
KY785441	DOM	human	Caribbean
KY785453	DOM	human	Caribbean
KY014300	DOM	human	Caribbean
n212	USA	human	Northern America
n219	USA	mosquito	Northern America
KY325464	USA	human	Northern America
KY325476	USA	human	Northern America
KY785443	USA	human	Northern America
n227	USA	human	Northern America
n238	USA	human	Northern America
KY325472	USA	human	Northern America
KX842449	USA	human	Northern America
KY075936	USA	human	Northern America
n244	USA	mosquito	Northern America
n245	USA	human	Northern America
KX922704	USA	human	Northern America
KX922706	USA	human	Northern America
KX922705	USA	human	Northern America
KY014298	USA	human	Northern America
KY325473	USA	human	Northern America
n216	USA	human	Northern America
KX838906	USA	mosquito	Northern America
KY075937	USA	mosquito	Northern America
KY785422	USA	mosquito	Northern America
KY014326	USA	human	Northern America
n229	USA	human	Northern America
n236	USA	human	Northern America
KY325467	USA	human	Northern America
KX832731	USA	human	Northern America
KX838904	USA	mosquito	Northern America
KY014324	USA	mosquito	Northern America
n246	USA	mosquito	Northern America
KY325477	USA	human	Northern America
n217	USA	mosquito	Northern America
n218	USA	human	Northern America
n230	USA	human	Northern America
n234	USA	human	Northern America
KY785412	USA	human	Northern America
KY075935	USA	human	Northern America
KY785472	USA	mosquito	Northern America
KY075938	USA	mosquito	Northern America
KY014299	USA	mosquito	Northern America
KX922708	USA	mosquito	Northern America
KY785459	USA	human	Northern America
MF988743	USA	mosquito	Northern America
n231	USA	human	Northern America
n233	USA	human	Northern America
KX838905	USA	mosquito	Northern America
n235	USA	human	Northern America
n232	USA	mosquito	Northern America
KY325468	USA	human	Northern America
KX922703	USA	human	Northern America
KY785445	USA	human	Northern America
KY785474	USA	human	Northern America
KY325469	USA	human	Northern America
KY785468	USA	mosquito	Northern America
KY075939	USA	mosquito	Northern America
